family,perm_id,macro_auprc_null
dipole_prop,1,0.3944136314960047
dipole_prop,2,0.38878183228362534
dipole_prop,3,0.3494465910702919
dipole_prop,4,0.3860540370940775
dipole_prop,5,0.36762513776758715
dipole_prop,6,0.3390201185651052
dipole_prop,7,0.32425761918067425
dipole_prop,8,0.38333628338523695
dipole_prop,9,0.3525664802360527
dipole_prop,10,0.33746849604629126
dipole_prop,11,0.363889016880308
dipole_prop,12,0.35969381587356614
dipole_prop,13,0.3951328516015771
dipole_prop,14,0.32496230651445973
dipole_prop,15,0.3757960913264982
dipole_prop,16,0.36818446977794
dipole_prop,17,0.3249647681601622
dipole_prop,18,0.3174083822851441
dipole_prop,19,0.3528400138171736
dipole_prop,20,0.318931064555392
sigma_profile,1,0.3101551894280986
sigma_profile,2,0.3506746733935995
sigma_profile,3,0.3460838682478975
sigma_profile,4,0.344151147519336
sigma_profile,5,0.34793523020385736
sigma_profile,6,0.32500637989351694
sigma_profile,7,0.35588026774012355
sigma_profile,8,0.31991462236844
sigma_profile,9,0.3483649773091186
sigma_profile,10,0.37454495036242413
sigma_profile,11,0.3576923930981631
sigma_profile,12,0.3305639149935801
sigma_profile,13,0.30711769359394236
sigma_profile,14,0.32688889208430555
sigma_profile,15,0.36520608819877803
sigma_profile,16,0.3758665480620857
sigma_profile,17,0.3252150302258409
sigma_profile,18,0.3463280073325939
sigma_profile,19,0.37231088224310244
sigma_profile,20,0.3222354665217169
graphmol_conf0,1,0.3362044309756646
graphmol_conf0,2,0.4292017155893053
graphmol_conf0,3,0.3184442089925933
graphmol_conf0,4,0.354463121661823
graphmol_conf0,5,0.30740706478382634
graphmol_conf0,6,0.3805785978611891
graphmol_conf0,7,0.3266644169587902
graphmol_conf0,8,0.3379111193367734
graphmol_conf0,9,0.3366550748074982
graphmol_conf0,10,0.31285711080499173
graphmol_conf0,11,0.3363529177595572
graphmol_conf0,12,0.38529155261974474
graphmol_conf0,13,0.34892660697890987
graphmol_conf0,14,0.33417840702120866
graphmol_conf0,15,0.3083061236929103
graphmol_conf0,16,0.3410349962177642
graphmol_conf0,17,0.33409401905662056
graphmol_conf0,18,0.3645981696354444
graphmol_conf0,19,0.3606680435546463
graphmol_conf0,20,0.3562431835646382
graphmol_boltzmann,1,0.36182034249063477
graphmol_boltzmann,2,0.36303956747274474
graphmol_boltzmann,3,0.3210442717477852
graphmol_boltzmann,4,0.3233559245390594
graphmol_boltzmann,5,0.29578203763079347
graphmol_boltzmann,6,0.37229218926862834
graphmol_boltzmann,7,0.3060931368466829
graphmol_boltzmann,8,0.33749619159596983
graphmol_boltzmann,9,0.3265875486914364
graphmol_boltzmann,10,0.3299358905665226
graphmol_boltzmann,11,0.3153987837416881
graphmol_boltzmann,12,0.3605422511404433
graphmol_boltzmann,13,0.35290061801249734
graphmol_boltzmann,14,0.3332929819372669
graphmol_boltzmann,15,0.31354775128768225
graphmol_boltzmann,16,0.3159010645775344
graphmol_boltzmann,17,0.31926638913563604
graphmol_boltzmann,18,0.3605166748601782
graphmol_boltzmann,19,0.3651640927785114
graphmol_boltzmann,20,0.3512291698398083
graphmol_dipole,1,0.35970784009986395
graphmol_dipole,2,0.3574423744776119
graphmol_dipole,3,0.33419586378635335
graphmol_dipole,4,0.33376088876832877
graphmol_dipole,5,0.3013281341267539
graphmol_dipole,6,0.36614110931594945
graphmol_dipole,7,0.3077831457565589
graphmol_dipole,8,0.3306750692180562
graphmol_dipole,9,0.31801387742022136
graphmol_dipole,10,0.3225248667950411
graphmol_dipole,11,0.3289830459078772
graphmol_dipole,12,0.35266443000219544
graphmol_dipole,13,0.3513770946693043
graphmol_dipole,14,0.32352481800839294
graphmol_dipole,15,0.3166759176428665
graphmol_dipole,16,0.3171183435287097
graphmol_dipole,17,0.31920117371852824
graphmol_dipole,18,0.35738097042523514
graphmol_dipole,19,0.3690903208619189
graphmol_dipole,20,0.3506385665905034
